unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1599867780000,2020-09-11 23:43:00,BTC/USDT,10383.44,10383.44,10381.99,10382.09,12.968298,134652.77450961,156
1599867840000,2020-09-11 23:44:00,BTC/USDT,10382.09,10390.94,10376.93,10388.09,30.717427,318953.3632115,475
1599867900000,2020-09-11 23:45:00,BTC/USDT,10388.09,10397.6,10386.09,10395.87,42.569421,442435.53886968,509
1599867960000,2020-09-11 23:46:00,BTC/USDT,10396.05,10396.34,10392.03,10393.89,35.023264,364059.84906947,598
1599868020000,2020-09-11 23:47:00,BTC/USDT,10393.9,10394.4,10382.24,10383.34,34.580593,359301.60777636,692
1599868080000,2020-09-11 23:48:00,BTC/USDT,10383.34,10383.36,10372.61,10372.98,55.368753,574683.4239273,699
1599868140000,2020-09-11 23:49:00,BTC/USDT,10372.98,10386.34,10372.97,10386.33,27.71573,287720.44729659,372
1599868200000,2020-09-11 23:50:00,BTC/USDT,10386.34,10386.77,10377.55,10377.96,14.963946,155347.26248438,384
1599868260000,2020-09-11 23:51:00,BTC/USDT,10377.95,10384.15,10376.01,10377.67,45.346758,470699.2067839,462
1599868320000,2020-09-11 23:52:00,BTC/USDT,10377.67,10383.35,10372.57,10373.24,13.747385,142673.98436027,386
1599868380000,2020-09-11 23:53:00,BTC/USDT,10373.24,10376.94,10371.46,10371.81,10.149009,105282.3514782,290
1599868440000,2020-09-11 23:54:00,BTC/USDT,10371.81,10375.82,10371.73,10374.53,13.260647,137548.72455847,255
1599868500000,2020-09-11 23:55:00,BTC/USDT,10374.52,10379.62,10373.06,10379.23,12.780284,132609.30976225,304
1599868560000,2020-09-11 23:56:00,BTC/USDT,10379.23,10388.14,10377.82,10386.86,13.516803,140337.45764655,479
1599868620000,2020-09-11 23:57:00,BTC/USDT,10386.85,10389.36,10381.0,10389.05,19.168116,199053.81726618,344
1599868680000,2020-09-11 23:58:00,BTC/USDT,10389.05,10394.59,10387.38,10387.38,35.814,372131.07263176,460
1599868740000,2020-09-11 23:59:00,BTC/USDT,10387.39,10391.8,10384.44,10387.89,19.680155,204439.7675623,408
1599868800000,2020-09-12 00:00:00,BTC/USDT,10387.89,10393.0,10386.26,10388.5,42.313329,439613.99097897,728
1599868860000,2020-09-12 00:01:00,BTC/USDT,10388.05,10390.35,10385.65,10386.43,62.844449,652849.80297132,727
1599868920000,2020-09-12 00:02:00,BTC/USDT,10386.44,10397.86,10386.16,10396.38,45.038896,468023.64526059,526
1599868980000,2020-09-12 00:03:00,BTC/USDT,10396.45,10396.45,10385.15,10388.05,41.615669,432401.89293256,720
1599869040000,2020-09-12 00:04:00,BTC/USDT,10387.92,10391.54,10375.02,10380.02,40.133908,416654.09362231,855
1599869100000,2020-09-12 00:05:00,BTC/USDT,10380.02,10381.76,10375.99,10375.99,22.078571,229161.87987721,368
1599869160000,2020-09-12 00:06:00,BTC/USDT,10375.83,10376.0,10371.89,10375.08,27.819964,288607.97503915,509
1599869220000,2020-09-12 00:07:00,BTC/USDT,10375.09,10375.43,10373.3,10373.77,14.263257,147982.99635987,248
1599869280000,2020-09-12 00:08:00,BTC/USDT,10373.77,10375.89,10370.0,10370.0,19.707295,204433.42605827,478
1599869340000,2020-09-12 00:09:00,BTC/USDT,10370.0,10375.28,10369.38,10371.65,33.967528,352357.27516191,355
1599869400000,2020-09-12 00:10:00,BTC/USDT,10371.65,10375.91,10365.31,10366.49,20.471571,212296.72347104,536
1599869460000,2020-09-12 00:11:00,BTC/USDT,10366.51,10366.75,10360.2,10363.99,40.332772,418011.45112575,679
1599869520000,2020-09-12 00:12:00,BTC/USDT,10363.99,10365.38,10361.1,10362.21,14.906047,154483.79891338,354
1599869580000,2020-09-12 00:13:00,BTC/USDT,10362.21,10366.21,10360.33,10363.22,23.986171,248569.04536561,428
1599869640000,2020-09-12 00:14:00,BTC/USDT,10363.22,10363.24,10350.0,10354.87,54.47456,564234.59952053,845
1599869700000,2020-09-12 00:15:00,BTC/USDT,10353.37,10365.73,10353.37,10365.62,31.440007,325756.67153761,491
1599869760000,2020-09-12 00:16:00,BTC/USDT,10365.63,10365.63,10360.01,10361.44,17.949731,186025.9948992,370
1599869820000,2020-09-12 00:17:00,BTC/USDT,10361.44,10362.0,10356.15,10360.64,25.570261,264906.53877874,450
1599869880000,2020-09-12 00:18:00,BTC/USDT,10360.65,10362.58,10357.37,10359.66,17.349849,179754.32156029,461
1599869940000,2020-09-12 00:19:00,BTC/USDT,10359.66,10359.66,10352.42,10357.01,20.439758,211681.74359615,412
1599870000000,2020-09-12 00:20:00,BTC/USDT,10357.01,10359.51,10353.78,10354.02,21.19441,219529.11085778,358
1599870060000,2020-09-12 00:21:00,BTC/USDT,10354.02,10358.32,10353.58,10355.88,21.724134,224969.93231247,399
1599870120000,2020-09-12 00:22:00,BTC/USDT,10355.88,10355.91,10348.1,10348.1,18.332786,189794.25110714,380
1599870180000,2020-09-12 00:23:00,BTC/USDT,10348.09,10351.73,10339.89,10341.02,49.651296,513652.20232218,738
1599870240000,2020-09-12 00:24:00,BTC/USDT,10341.68,10346.42,10335.31,10344.54,43.685108,451690.65468443,655
